Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12319;GCP;0.004;0.008;-0.004;-0.008;-0.011;0.453
StkdT_12383;GCP;0.004;0.007;-0.004;-0.003;-0.005;0.584
StkdT_12382;GCP;0.004;0.008;-0.003;0.006;-0.014;0.373
StkdT_12381;GCP;0.005;0.009;0.002;-0.005;0.015;0.347
StkdT_12379;GCP;0.006;0.013;0.002;0.011;-0.017;0.433
StkdT_12373;GCP;0.004;0.008;0.007;-0.005;-0.007;0.646
StkdT_12318;GCP;0.004;0.007;0.002;0.015;0.023;0.488
StkdT_12370;GCP;0.004;0.007;0.006;-0.003;0.006;0.222
StkdT_12374;GCP;0.006;0.010;-0.010;-0.011;-0.001;0.532
StkdT_12360;GCP;0.006;0.011;-0.002;0.004;-0.005;0.384
StkdT_12361;GCP;0.006;0.014;-0.000;-0.003;0.006;0.196
StkdT_12389;Checkpoint;0.0047;0.0107;-0.0062;0.0490;0.0423;0.5919
StkdT_12388;Checkpoint;0.0038;0.0082;-0.0288;0.0536;0.1112;0.3545
StkdT_12387;Checkpoint;0.0043;0.0090;0.0301;0.0459;-0.0690;0.5254
StkdT_12320;Checkpoint;0.0050;0.0090;-0.0223;0.0186;0.0149;0.3901
StkdT_12378;Checkpoint;0.0070;0.0151;-0.0120;-0.0137;-0.0650;0.2897
StkdT_12380;Checkpoint;0.0080;0.0175;-0.0462;-0.0146;-0.0039;0.3477
StkdT_12303;Checkpoint;0.0050;0.0111;0.0448;-0.0419;-0.0787;0.5769
StkdT_12375;Checkpoint;0.0091;0.0205;0.0007;0.0234;0.0930;0.3626
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0157;-0.0143;0.1147;0.4266
StkdT_12386;Checkpoint;0.0038;0.0094;0.0266;-0.0080;-0.0613;0.4939
StkdT_12385;Checkpoint;0.0044;0.0107;0.0352;-0.0426;-0.0390;0.4995
StkdT_12384;Checkpoint;0.0042;0.0100;0.0282;-0.0004;-0.0203;0.4302
StkdT_12371;Checkpoint;0.0040;0.0082;0.0191;0.0508;-0.1407;0.4371
StkdT_12317;Checkpoint;0.0040;0.0080;0.0144;0.0030;-0.1628;0.4934
StkdT_12362;Checkpoint;0.0041;0.0078;0.0223;0.0791;-0.0443;0.5098
StkdT_12316;Checkpoint;0.0044;0.0082;0.0112;0.0650;-0.0002;0.3903
StkdT_12369;Checkpoint;0.0048;0.0087;0.0062;0.0592;-0.0380;0.6192
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0580;0.0042;0.0935;0.6236
StkdT_12364;Checkpoint;0.0055;0.0116;-0.0304;0.1015;-0.2714;0.2772
StkdT_12363;Checkpoint;0.0037;0.0091;0.0070;0.0697;0.0232;0.2970
