Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12388;GCP;0.004;0.008;-0.001;0.003;-0.000;0.376
StkdT_12320;GCP;0.005;0.009;0.009;0.002;-0.004;0.417
StkdT_12378;GCP;0.007;0.015;-0.014;-0.003;-0.015;0.317
StkdT_12303;GCP;0.005;0.011;0.024;-0.002;0.007;0.547
StkdT_12362;GCP;0.004;0.008;0.009;0.011;-0.027;0.550
StkdT_12364;GCP;0.005;0.012;-0.004;0.004;-0.005;0.229
StkdT_12363;GCP;0.004;0.009;-0.000;-0.011;0.003;0.347
StkdT_12389;Checkpoint;0.0047;0.0107;0.0125;0.0347;0.0779;0.6051
StkdT_12387;Checkpoint;0.0043;0.0090;0.0713;0.0406;0.0141;0.5212
StkdT_12319;Checkpoint;0.0039;0.0076;0.0261;0.0039;0.2529;0.4459
StkdT_12383;Checkpoint;0.0039;0.0073;0.0340;0.0055;0.3231;0.5772
StkdT_12382;Checkpoint;0.0043;0.0082;0.0342;0.0108;0.1898;0.3384
StkdT_12381;Checkpoint;0.0049;0.0093;0.0330;-0.0136;0.1479;0.3205
StkdT_12379;Checkpoint;0.0059;0.0130;0.0206;0.0374;0.1137;0.4092
StkdT_12380;Checkpoint;0.0080;0.0175;-0.0148;0.0148;0.1841;0.3052
StkdT_12375;Checkpoint;0.0091;0.0205;0.0363;0.0386;0.4130;0.3465
StkdT_12376;Checkpoint;0.0076;0.0179;0.0276;0.0024;0.5330;0.4124
StkdT_12386;Checkpoint;0.0038;0.0094;0.0660;0.0049;0.2541;0.4935
StkdT_12385;Checkpoint;0.0044;0.0107;0.0780;-0.0327;0.2461;0.4804
StkdT_12384;Checkpoint;0.0042;0.0100;0.0723;0.0074;0.1353;0.4361
StkdT_12371;Checkpoint;0.0040;0.0082;0.0457;0.0591;0.1311;0.4363
StkdT_12317;Checkpoint;0.0040;0.0080;0.0205;-0.0053;0.0004;0.4925
StkdT_12316;Checkpoint;0.0044;0.0082;0.0254;0.0060;0.2174;0.3667
StkdT_12369;Checkpoint;0.0048;0.0087;0.0181;0.0213;0.1768;0.6258
StkdT_12373;Checkpoint;0.0043;0.0078;0.0447;-0.0168;0.3468;0.6404
StkdT_12318;Checkpoint;0.0043;0.0074;0.0441;0.0331;0.4702;0.4893
StkdT_12370;Checkpoint;0.0043;0.0074;0.0585;0.0091;0.4320;0.2362
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0039;0.0173;0.6095;0.5813
StkdT_12374;Checkpoint;0.0058;0.0103;0.0358;-0.0219;0.4975;0.5465
StkdT_12360;Checkpoint;0.0057;0.0107;0.0420;-0.0226;0.4107;0.4076
StkdT_12361;Checkpoint;0.0064;0.0137;0.0549;-0.0564;0.4532;0.1587
