Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12388;GCP;0.004;0.008;-0.001;0.000;-0.000;0.349
StkdT_12376;GCP;0.008;0.018;0.002;-0.002;-0.001;0.474
StkdT_12362;GCP;0.004;0.008;-0.000;0.001;-0.001;0.511
StkdT_12389;Checkpoint;0.0047;0.0107;0.0172;0.0266;-0.0686;0.6010
StkdT_12387;Checkpoint;0.0043;0.0090;0.0747;0.0423;-0.3521;0.5274
StkdT_12319;Checkpoint;0.0039;0.0076;0.0151;-0.0163;-0.1721;0.4443
StkdT_12383;Checkpoint;0.0039;0.0073;0.0194;-0.0018;-0.2119;0.5589
StkdT_12382;Checkpoint;0.0043;0.0082;0.0286;0.0064;-0.2765;0.3559
StkdT_12320;Checkpoint;0.0050;0.0090;0.0214;-0.0101;-0.1819;0.3876
StkdT_12381;Checkpoint;0.0049;0.0093;0.0370;-0.0209;-0.1793;0.3257
StkdT_12378;Checkpoint;0.0070;0.0151;-0.0150;-0.0158;-0.0821;0.2825
StkdT_12379;Checkpoint;0.0059;0.0130;0.0243;0.0153;-0.1317;0.3944
StkdT_12380;Checkpoint;0.0080;0.0175;-0.0179;-0.0185;-0.1056;0.3310
StkdT_12303;Checkpoint;0.0050;0.0111;0.0463;-0.0294;-0.0722;0.5612
StkdT_12375;Checkpoint;0.0091;0.0205;0.0147;0.0163;-0.0391;0.3478
StkdT_12386;Checkpoint;0.0038;0.0094;0.0498;0.0046;-0.3181;0.5013
StkdT_12385;Checkpoint;0.0044;0.0107;0.0651;-0.0318;-0.3123;0.4728
StkdT_12384;Checkpoint;0.0042;0.0100;0.0641;0.0128;-0.3436;0.4399
StkdT_12371;Checkpoint;0.0040;0.0082;0.0285;0.0550;-0.3788;0.4329
StkdT_12317;Checkpoint;0.0040;0.0080;0.0043;-0.0123;-0.3564;0.4965
StkdT_12316;Checkpoint;0.0044;0.0082;0.0195;-0.0126;0.0941;0.3740
StkdT_12369;Checkpoint;0.0048;0.0087;0.0060;0.0106;-0.0973;0.6188
StkdT_12373;Checkpoint;0.0043;0.0078;0.0298;-0.0262;-0.1509;0.6407
StkdT_12318;Checkpoint;0.0043;0.0074;0.0304;0.0273;-0.1169;0.4924
StkdT_12370;Checkpoint;0.0043;0.0074;0.0421;0.0049;-0.1643;0.2258
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0164;0.0144;0.0225;0.5853
StkdT_12374;Checkpoint;0.0058;0.0103;0.0251;-0.0323;-0.0510;0.5247
StkdT_12360;Checkpoint;0.0057;0.0107;0.0296;-0.0390;0.0006;0.3819
StkdT_12361;Checkpoint;0.0064;0.0137;0.0435;-0.0715;0.1512;0.1846
StkdT_12364;Checkpoint;0.0055;0.0116;0.0311;-0.0985;0.3165;0.2826
StkdT_12363;Checkpoint;0.0037;0.0091;0.0021;-0.0423;0.2537;0.3011
